#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
215000,-667833.7602610663,123363.94162310171,-544469.8186379645,299.32562259403693,484.4996391520349,106
220000,-667489.4381646435,123472.6389393225,-544016.799225321,299.5893616690374,484.39771867966346,106
225000,-668061.9547377634,124051.16118078702,-544010.7935569764,300.993066251045,484.47039586226566,106
230000,-668555.8056933237,123472.02561222401,-545083.7800810997,299.58787351526087,484.56800587493876,106
235000,-666183.673750056,123614.2365784971,-542569.4371715588,299.9329288487671,486.4755909329724,106
240000,-666692.895865758,123056.70109787013,-543636.1947678878,298.58014575298375,486.9730502357167,106
245000,-667165.3892963207,122846.7854616961,-544318.6038346246,298.0708143578992,486.2156406053068,106
250000,-667530.3811063701,124825.57444284818,-542704.8066635219,302.87207342900734,484.93298849451725,106
255000,-668513.1559870527,123601.48088405258,-544911.6751030001,299.901978912092,485.5703279458455,106
260000,-666866.2419290291,123297.52546193518,-543568.7164670939,299.164472921532,487.1484165500958,106
265000,-667098.9789700587,122776.43001961638,-544322.5489504423,297.90010656252315,484.5419428797121,106
270000,-667783.3368691099,124415.75697593397,-543367.579893176,301.8777077592659,485.6185334436439,106
275000,-666770.2548762425,123673.94789123349,-543096.306985009,300.0778101295171,485.70647309953847,106
280000,-666397.9542815578,124098.04135751026,-542299.9129240476,301.10681454653866,486.50886623151854,106
285000,-668306.303904173,124772.66240190474,-543533.6415022683,302.74368964530413,486.30431166385625,106
290000,-667058.7376782927,123790.66363375315,-543268.0740445395,300.3610048121494,483.3778022284162,106
295000,-668537.580173153,123658.5322291347,-544879.0479440183,300.04040614748874,484.7900562674678,106
300000,-668719.24396114,124249.61188979802,-544469.6320713421,301.4745795785814,485.934922498796,106
305000,-666812.4473459022,123257.07699048985,-543555.3703554124,299.0663302735341,486.28258113478876,106
310000,-667758.2315734997,123421.95517292293,-544336.2764005768,299.4663844867801,485.0308586296944,106
315000,-667032.3073202297,123033.17261483049,-543999.1347053992,298.52305712771874,485.7363312352731,106
320000,-666821.5836287392,123800.2644590793,-543021.3191696599,300.3842998931946,485.7323548192016,106
325000,-667796.0574486507,123741.09101671178,-544054.9664319389,300.2407236808537,485.0947861193533,106
330000,-667219.9806402796,124204.45803636918,-543015.5226039104,301.3650199689233,485.63458234151983,106
