#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
160000,-641766.401312653,119131.71061048261,-522634.69070217037,299.62257994168374,467.0141650018961,106
165000,-641653.42844975,119461.28603950515,-522192.1424102448,300.45147965128325,468.2098318616787,106
170000,-641904.6769112227,119107.75204460241,-522796.92486662033,299.5623228759206,468.097326957628,106
175000,-639499.6462829094,118691.57975592813,-520808.0665269813,298.5156274646499,467.5765341092568,106
180000,-642161.1897159745,119320.24818737159,-522840.9415286029,300.0967619618524,466.00093092319736,106
185000,-640443.9919551862,119594.15100447886,-520849.8409507074,300.78564209539894,469.7842458596372,106
190000,-640508.4884944339,118968.13582141694,-521540.35267301695,299.21118065880495,469.36888662620305,106
195000,-641884.9435288729,119395.66623953788,-522489.27728933503,300.28644236892825,467.6444319743838,106
200000,-641584.6074775141,119616.68481833418,-521967.9226591799,300.8423158341429,467.882441903685,106
205000,-641160.7563946294,118712.99071650766,-522447.7656781217,298.56947716776415,467.5600240383169,106
210000,-640994.1519754026,119277.43336893717,-521716.71860646544,299.9890804193536,468.13864762206333,106
215000,-639870.1705600396,119028.41820776009,-520841.7523522795,299.36279406239515,467.83544015588035,106
220000,-640583.9812284913,119678.31774756574,-520905.66348092555,300.99732592483235,467.2266836713344,106
225000,-641139.4005600368,120758.60582978849,-520380.7947302483,303.7143078318088,466.23027904861965,106
230000,-641874.877025234,118562.23943523226,-523312.6375900018,298.19032968810666,466.6441311993878,106
235000,-641084.3690017709,118874.39775336819,-522209.97124840267,298.97542443870543,464.7859192692178,106
240000,-642309.9004770014,119018.81758994656,-523291.0828870549,299.33864799865125,464.8553463111582,106
245000,-641952.0564525872,119379.61762490438,-522572.43882768287,300.2460792506927,466.2070393775262,106
250000,-640918.4571112781,118409.18355444854,-522509.27355682955,297.8053860182755,468.58169522385793,106
255000,-639688.6356782829,119528.91663181793,-520159.719046465,300.6215741831917,467.46569207371783,106
260000,-642675.8058076268,119945.0682582471,-522730.7375493797,301.6682176278184,466.8041693597105,106
265000,-641487.7023460427,118884.3493599644,-522603.35298607836,299.00045325788085,465.0329823948606,106
270000,-642109.5195953939,118933.82726960156,-523175.69232579233,299.1248928286688,465.8401537893022,106
275000,-641468.4663351178,119050.03634524971,-522418.4299898681,299.4171648264427,465.7364790238359,106
280000,-641389.0213263393,119051.03191932023,-522337.9894070191,299.41966874811055,466.1750108851242,106
285000,-641563.5857283454,118555.29661085035,-523008.28911749506,298.1728681160136,467.43571179705555,106
290000,-640877.7775388132,119147.60192746425,-521730.17561134894,299.6625474479699,467.4444319089534,106
295000,-642065.4548253301,118702.62572559924,-523362.8290997308,298.5434086650864,466.14766251213604,106
300000,-642234.2956220647,119646.90895007784,-522587.3866719869,300.9183311308521,466.91780644691175,105
305000,-639200.6805278123,119152.92594050366,-520047.7545873087,299.6759376235524,469.94496257372344,105
310000,-640748.6822865456,119342.61656677185,-521406.06571977376,300.1530196241547,468.0213920952399,105
315000,-640769.8651512843,119443.18504079862,-521326.68011048564,300.40595467809027,468.4073709294132,105
320000,-640851.0458660359,119511.52629214094,-521339.5195738949,300.5778365552051,466.84302076054337,105
325000,-641293.193390476,118626.45774595457,-522666.7356445215,298.35184215056955,466.74625244341604,105
330000,-641022.4941179226,119564.26327120734,-521458.2308467153,300.71047285871515,467.4119776494187,105
