#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
135000,-687282.0172288362,128090.95983621234,-559191.0573926239,301.21224336574693,501.6036003882007,103
140000,-685622.3576303986,128752.36064420926,-556869.9969861894,302.76756016090104,502.4638695773928,103
145000,-684861.7009209613,128134.4773845619,-556727.2235363994,301.3145770384816,503.2502718954162,103
150000,-686461.6452732654,128312.97708924103,-558148.6681840244,301.7343279448319,500.90231551541467,103
155000,-687504.2939380938,128293.42976758454,-559210.8641705093,301.68836144871483,500.1244419609905,103
160000,-686865.0405773385,127438.0110340284,-559427.0295433102,299.67680188134955,501.6759386628461,103
165000,-686064.3811597126,127864.5996498735,-558199.781509839,300.6799461636416,501.47254041801705,102
170000,-686686.7203550087,127938.54137836292,-558748.1789766458,300.8538238045392,499.5704762717263,102
175000,-686119.4626532583,128142.84001085802,-557976.6226424003,301.3342421688726,501.7636744034491,102
180000,-686467.5644572419,128248.21863714617,-558219.3458200957,301.5820452337231,501.6343711546499,102
185000,-686489.9282362703,126844.27159875284,-559645.6566375175,298.28059415909695,499.27596152990515,102
190000,-687670.1617588354,128140.50132797373,-559529.6604308616,301.32874264010803,500.1820995669,102
195000,-685160.7875978905,127187.29540612438,-557973.4921917662,299.0872316507541,501.79025594358217,102
200000,-684088.7230474576,127796.72528128626,-556291.9977661713,300.52033622040017,502.4082364244159,102
205000,-685806.3315697233,127561.21616447298,-558245.1154052503,299.96652485464006,502.5820623082195,102
210000,-685482.8239076398,128801.33767726365,-556681.4862303762,302.8827320826243,501.48122354826467,102
215000,-684804.9011143143,127671.5679237874,-557133.3331905269,300.22602248839155,502.53338947308043,102
220000,-686414.4177458296,127605.24673555838,-558809.1710102712,300.07006492577597,502.1884079810185,102
225000,-686221.031902012,127264.49261235408,-558956.5392896578,299.26876470897895,500.27715214924194,102
230000,-685768.5131162521,128044.77685234929,-557723.7362639029,301.10364178923834,501.6042244389086,102
235000,-686584.012803684,127306.40636940452,-559277.6064342795,299.36732698695073,499.3384240452964,102
240000,-687259.4480596804,128363.60271950808,-558895.8453401723,301.85337662464536,500.70525860008297,102
245000,-685440.8070962876,127762.21899895894,-557678.5880973287,300.4391929865348,500.2733493518942,102
250000,-687379.8736689808,127381.4699167572,-559998.4037522236,299.54384264053004,499.7355973927168,102
255000,-686836.5373047176,127402.1903835017,-559434.3469212159,299.59256784549126,499.5603996088808,102
260000,-685938.758757682,128298.02852664146,-557640.7302310406,301.69917565866376,501.71871840122026,102
265000,-685599.8670175546,127480.70383190113,-558119.1631856535,299.77719611244316,501.5505285166641,102
270000,-686107.9133590613,127502.61046627404,-558605.3028927873,299.828710649398,499.88027488362604,102
275000,-688598.220709756,127544.69596308653,-561053.5247466695,299.9276767819359,500.28638868433626,102
280000,-688036.8607057179,129081.38612895142,-558955.4745767665,303.54127990279704,500.6050875367783,102
285000,-687047.7765704123,126673.22426942684,-560374.5523009854,297.878367882911,501.6401209327237,102
290000,-686457.8352803253,126632.38082440235,-559825.4544559229,297.782322496739,502.4672726783582,102
295000,-686994.5369496001,128032.46576926939,-558962.0711803307,301.0746916669385,500.9943824904821,102
300000,-685561.6254759999,127531.06899206861,-558030.5564839313,299.89563228390233,501.28389556417306,102
305000,-686180.9914597515,129340.1258504613,-556840.8656092902,304.1497191873764,500.0192443776522,102
310000,-686138.8143355288,127397.89578876225,-558740.9185467665,299.5824688930166,500.8389120603899,102
315000,-687099.4944366519,127730.6424975521,-559368.8519390998,300.36493927777536,501.1522407309082,102
320000,-687341.6105654244,127345.33177006722,-559996.2787953572,299.458861996701,501.36194148242856,102
325000,-686306.3287101616,127683.87927823869,-558622.449431923,300.2549732488346,498.39047786684677,102
330000,-687265.5052450649,127786.86858993932,-559478.6366551255,300.49715772195987,499.18923108704524,102
